,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Northwest Division
1,51,31,.622,—,101.5,98.6,3.06,2007,Utah Jazz*
2,45,37,.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets*
3,32,50,.390,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers
4,32,50,.390,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves
5,31,51,.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Pacific Division
7,61,21,.744,—,110.2,102.9,7.28,2007,Phoenix Suns*
8,42,40,.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers*
9,42,40,.512,19.0,106.5,106.9,0.00,2007,Golden State Warriors*
10,40,42,.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
11,33,49,.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Southwest Division
13,67,15,.817,—,100.0,92.8,7.28,2007,Dallas Mavericks*
14,58,24,.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs*
15,52,30,.634,15.0,97.0,92.1,5.04,2007,Houston Rockets*
16,39,43,.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
17,22,60,.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Northwest Division
1,54,28,.659,—,106.2,99.3,6.86,2008,Utah Jazz*
2,50,32,.610,4.0,110.7,107.0,3.74,2008,Denver Nuggets*
3,41,41,.500,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
4,22,60,.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
5,20,62,.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,57,25,.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers*
8,55,27,.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns*
9,48,34,.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
10,38,44,.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
11,23,59,.280,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,56,26,.683,—,100.9,95.6,5.46,2008,New Orleans Hornets*
14,56,26,.683,—,95.4,90.6,5.10,2008,San Antonio Spurs*
15,55,27,.671,1.0,96.7,92.0,4.83,2008,Houston Rockets*
16,51,31,.622,5.0,100.4,95.9,4.70,2008,Dallas Mavericks*
17,22,60,.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
